CantoChorID#,1.Meter,2.No of beats,3.Beat sub-division ,4. No. of sub-beats,5.Syncopation,6.Motivic redundancy ,7.Durational variability ,8.Tonality,9. Mode,10.No. of scale degrees ,11.Hemitonicity ,12.Maximum interval size ,13.Melodic range ,14.Melodic contour ,15.Melisma ,16.Vocables,17. Number of vocal parts ,18.Rhythmic texture ,19.Harmonic interval ,20.Relative contour ,21.Phrase repetition ,22.Phrase length,23.Phrase symmetry,24.Solo/group arrangement ,25.Responsorial relationship ,26. Phrase overlap,5,6,23,24,25,26,28,30,31,32,33,34,35,36,37,Instrument?,"Instruments (a=aerophone,c=chordophone,i=i,m=membranophone)",Function,Ritual,Function notes,Nothing
150,b,,,,,1,0,e,e,0.5,a,0.5,0.5,ae,0.5,0,0,,,,0.5,1,0.5,c,a,,0.75,1,0.5,0.6,0.5,1,0.666666667,1,1,0.5,0.333333333,1,1,0.5,0.5,N,,Love,Non-ritual,,
151,a,,,,,0.5,0.5,e,d,0.5,b,0.5,0.5,f,0.5,0,0,,,,0.5,0.5,0,c,a,,0.75,0.75,0.25,0.4,0.5,0,0.666666667,0.5,1,0.5,0.333333333,0.75,1,0.5,0.5,N,,Ceremonial,Life-cycle,Usually sung by men at weddings,
152,b,,,,,0.5,0.5,e,e,0.5,a,0,0.5,fa,0.5,0,0.5,c,1,a,0.5,1,0.5,c,c,0,0.75,0.75,0.5,0.4,0.5,0.333333333,0.666666667,0.5,1,0.5,0.333333333,0.75,1,0.75,0.25,N,,Love,Non-ritual,,
153,b,,,,,0.5,0.5,e,e,0.5,a,0.5,0.5,f,1,0,0,,,,0.5,0.5,0,cd,a,,0.75,0.75,0.5,0.4,0.5,0.666666667,0.333333333,0.5,1,0.5,0.333333333,0.75,1,0.75,0.25,N,,Love,Non-ritual,,
154,b,,,,,0,0.5,e,e,1,a,0.5,0.5,fa,0.5,0,0.5,c,1,a,0.5,0.5,0.5,bc,a,,0.75,0.75,0.5,0.6,0.5,0.666666667,0.666666667,0.5,1,0.5,0.333333333,0.75,1,0.75,0.25,N,,Love,Non-ritual,*Also sung by Rukai,
155,b,,,,,0.5,0.5,e,e,0.5,a,0.5,0,f,0.5,0,0.5,cb,1,a,0.5,1,0.5,bc,a,,0.75,0.75,0.5,0.8,0.5,1,0.666666667,0.5,1,0.5,0.333333333,0.75,1,0.5,0.25,N,,Love,Non-ritual,,
156,b,,,,,0,0,e,d,0.5,b,0.5,0.5,f,0.5,0.5,0,,,,0.5,1,0.5,c,a,,0.75,0.75,0.5,0.8,0.5,1,0.666666667,1,0.5,0.5,0.333333333,0.75,1,0.5,0.25,N,,Love,Non-ritual,Originally sung by Ravals (north) later introduced to other Paiwan,
157,d,a,c,a,0,1,0,e,d,1,a,0.5,0.5,f,0.5,0.5,0,,,,1,1,0,c,a,,0.75,0.5,0.75,0.6,0.5,1,1,0.5,1,0.5,0.333333333,0.5,1,0.5,0.5,N,,"Love, Work",Non-ritual,,
158,b,,,,,1,0,e,e,1,a,0.5,0.5,fa,0.5,0.5,0.5,c,1,a,0.5,0.5,0.5,cd,a,,0.75,0.75,0.75,0.6,0.5,1,1,0.5,1,0.5,0.333333333,0.5,1,0.5,0.5,N,,Other,Non-ritual,About dowry/marriage,
159,b,,,,,1,0,e,d,0.5,a,0.5,0.5,ef,0.5,1,0,,,,1,0.5,0.5,d,a,,0.75,0.75,0.75,0.4,0.25,0.666666667,1,0.5,1,0.5,0.333333333,0.25,1,0.75,0.5,N,,Ceremonial,Life-cycle,"Women's version of ""song of brave warriors"", professing chastity",
